query,url,title,snippet,text_sample,position,relevant,click,text_sample_cleaned,positive,negative,joy,sadness,anger,fear,fre,gulpease_index
 le conseguenze negative della distruzione della foresta amazzonica,https://www.ecoage.it/conseguenze-della-deforestazione.htm,Conseguenze della deforestazione - ecoage.it Conseguenze della deforestazione - ecoage.it,Conseguenze della deforestazione . La deforestazione è il fenomeno causato dalla distruzione delle foreste da parte dell'uomo. In questa pagina approfondiamo la conoscenza delle conseguenze della deforestazione.Possiamo evidenziare almeno tre effetti negativi derivanti dall'eccessivo abbattimento degli alberi: Conseguenze della deforestazione . La deforestazione è il fenomeno causato dalla distruzione delle foreste da parte dell'uomo. In questa pagina approfondiamo la conoscenza delle conseguenze della deforestazione.Possiamo evidenziare almeno tre effetti negativi derivanti dall'eccessivo abbattimento degli alberi:,Conseguenze della deforestazione - ecoage.it Conseguenze della deforestazione - ecoage.it. Conseguenze della deforestazione . La deforestazione è il fenomeno causato dalla distruzione delle foreste da parte dell'uomo. In questa pagina approfondiamo la conoscenza delle conseguenze della deforestazione.Possiamo evidenziare almeno tre effetti negativi derivanti dall'eccessivo abbattimento degli alberi: Conseguenze della deforestazione . La deforestazione è il fenomeno causato dalla distruzione delle foreste da parte dell'uomo. In questa pagina approfondiamo la conoscenza delle conseguenze della deforestazione.Possiamo evidenziare almeno tre effetti negativi derivanti dall'eccessivo abbattimento degli alberi:,1,R,0,Conseguenze della deforestazione - ecoage.it Conseguenze della deforestazione - ecoage.it. Conseguenze della deforestazione . La deforestazione è il fenomeno causato dalla distruzione delle foreste da parte dell'uomo. In questa pagina approfondiamo la conoscenza delle conseguenze della deforestazione.Possiamo evidenziare almeno tre effetti negativi derivanti dall'eccessivo abbattimento degli alberi Conseguenze della deforestazione . La deforestazione è il fenomeno causato dalla distruzione delle foreste da parte dell'uomo. In questa pagina approfondiamo la conoscenza delle conseguenze della deforestazione.Possiamo evidenziare almeno tre effetti negativi derivanti dall'eccessivo abbattimento degli alberi,0.021219773043412715,99.97878670692444,0.02633586118463427,10.431801527738571,2.0579930394887924,87.48387098312378,16.44,47.63
 le conseguenze negative della distruzione della foresta amazzonica,https://forestaamazzonica.blogspot.com/2016/08/deforestazione-amazzonia.html,La deforestazione in Amazzonia - Foresta Amazzonica,"Le loro stime sulla deforestazione sono derivate da 100 a 220 immagini scattate durante la stagione secca in Amazzonia dal satellite Landsat, che prende in considerazione solo la perdita di bioma della foresta amazzonica - non la perdita di campi naturali o di savana all'interno della foresta.","La deforestazione in Amazzonia - Foresta Amazzonica. Le loro stime sulla deforestazione sono derivate da 100 a 220 immagini scattate durante la stagione secca in Amazzonia dal satellite Landsat, che prende in considerazione solo la perdita di bioma della foresta amazzonica - non la perdita di campi naturali o di savana all'interno della foresta.",2,NR,0,La deforestazione in Amazzonia - Foresta Amazzonica. Le loro stime sulla deforestazione sono derivate da 100 a 220 immagini scattate durante la stagione secca in Amazzonia dal satellite Landsat che prende in considerazione solo la perdita di bioma della foresta amazzonica - non la perdita di campi naturali o di savana all'interno della foresta.,0.0219347290112637,99.97807145118713,0.01373054547002539,98.39468002319336,1.0461156256496906,0.5454674363136292,42.43,46.09
 le conseguenze negative della distruzione della foresta amazzonica,https://www.elledecor.com/it/lifestyle/a28066697/incendi-foresta-amazzonica-brasile-conseguenze/,Le conseguenze degli incendi della foresta amazzonica in ...,"Il Brasile sta vivendo la più grande ondata di incendi degli ultimi cinque anni.Lo comunica il National Institute for Space Research (INPE) commentando le migliaia di focolai che stanno distruggendo la foresta amazzonica negli stati settentrionali del Brasile, raggiungendo i confini con il Perù, la Bolivia e il Paraguay: più di 72.000 incendi boschivi dall’inizio del 2019 (di cui 9.500 si ...","Le conseguenze degli incendi della foresta amazzonica in .... Il Brasile sta vivendo la più grande ondata di incendi degli ultimi cinque anni.Lo comunica il National Institute for Space Research (INPE) commentando le migliaia di focolai che stanno distruggendo la foresta amazzonica negli stati settentrionali del Brasile, raggiungendo i confini con il Perù, la Bolivia e il Paraguay: più di 72.000 incendi boschivi dall’inizio del 2019 (di cui 9.500 si ...",3,R,1,Le conseguenze degli incendi della foresta amazzonica in .... Il Brasile sta vivendo la più grande ondata di incendi degli ultimi cinque anni.Lo comunica il National Institute for Space Research INPE commentando le migliaia di focolai che stanno distruggendo la foresta amazzonica negli stati settentrionali del Brasile raggiungendo i confini con il Perù la Bolivia e il Paraguay più di 72.000 incendi boschivi dall inizio del 2019 di cui 9.500 si ...,0.021411852503661066,99.9785840511322,0.08179903379641473,0.5267846398055553,0.06551012629643083,99.3259072303772,65.01,51.88
 le conseguenze negative della distruzione della foresta amazzonica,https://www.informazioneambiente.it/deforestazione/,Cause e conseguenze della deforestazione ambientale,"Le conseguenze della deforestazione. Ma a cosa ci porterà tutto questo? Lo sfruttamento intensivo delle foreste, se non si trova subito una soluzione che possa risolvere il problema in modo massiccio, rischia di mutare completamente il nostro ecosistema, con conseguenze terribili.","Cause e conseguenze della deforestazione ambientale. Le conseguenze della deforestazione. Ma a cosa ci porterà tutto questo? Lo sfruttamento intensivo delle foreste, se non si trova subito una soluzione che possa risolvere il problema in modo massiccio, rischia di mutare completamente il nostro ecosistema, con conseguenze terribili.",4,NR,0,Cause e conseguenze della deforestazione ambientale. Le conseguenze della deforestazione. Ma a cosa ci porterà tutto questo? Lo sfruttamento intensivo delle foreste se non si trova subito una soluzione che possa risolvere il problema in modo massiccio rischia di mutare completamente il nostro ecosistema con conseguenze terribili.,0.021173027926124632,99.97883439064026,0.1913473941385746,9.266138076782227,0.05475806538015604,90.48776030540466,54.92,53.26
 le conseguenze negative della distruzione della foresta amazzonica,http://www.eniscuola.net/argomento/foresta-tropicale/deforestazione/conseguenze-della-deforestazione/,Conseguenze della deforestazione - eniscuola.net,"Conseguenze della deforestazione. Le foreste hanno un ruolo fondamentale per il ciclo dell’acqua, quindi la deforestazione comporta squilibri climatici sia a livello globale, sia a livello mondiale, poiché influisce sulla composizione dell’atmosfera e di conseguenza sull’effetto serra.","Conseguenze della deforestazione - eniscuola.net. Conseguenze della deforestazione. Le foreste hanno un ruolo fondamentale per il ciclo dell’acqua, quindi la deforestazione comporta squilibri climatici sia a livello globale, sia a livello mondiale, poiché influisce sulla composizione dell’atmosfera e di conseguenza sull’effetto serra.",5,R,1,Conseguenze della deforestazione - eniscuola.net. Conseguenze della deforestazione. Le foreste hanno un ruolo fondamentale per il ciclo dell acqua quindi la deforestazione comporta squilibri climatici sia a livello globale sia a livello mondiale poiché influisce sulla composizione dell atmosfera e di conseguenza sull effetto serra.,0.021341453248169273,99.97865557670593,0.021973067487124354,93.46064925193787,1.9228588789701462,4.5945219695568085,33.87,40.71
 le conseguenze negative della distruzione della foresta amazzonica,http://deanetwork.net/deforestazione-della-foresta-pluviale/,Deforestazione della foresta pluviale: cause e conseguenze ...,Ogni anno una superficie di foresta pluviale superiore alle dimensioni di uno stato come il New Jersey viene abbattuta e distrutta per sempre. La distruzione della foresta pluviale è causata essenzialmente da una solo causa: l’uomo. Multinazionali accecate dal solo guadagno economico stanno abbattendo le foreste pluviali per molte ragioni.,Deforestazione della foresta pluviale: cause e conseguenze .... Ogni anno una superficie di foresta pluviale superiore alle dimensioni di uno stato come il New Jersey viene abbattuta e distrutta per sempre. La distruzione della foresta pluviale è causata essenzialmente da una solo causa: l’uomo. Multinazionali accecate dal solo guadagno economico stanno abbattendo le foreste pluviali per molte ragioni.,6,NR,0,Deforestazione della foresta pluviale cause e conseguenze .... Ogni anno una superficie di foresta pluviale superiore alle dimensioni di uno stato come il New Jersey viene abbattuta e distrutta per sempre. La distruzione della foresta pluviale è causata essenzialmente da una solo causa l uomo. Multinazionali accecate dal solo guadagno economico stanno abbattendo le foreste pluviali per molte ragioni.,0.020592687360476702,99.9794065952301,0.0175513414433226,15.217188000679016,84.57516431808472,0.19009070238098502,53.21,50.05
 le conseguenze negative della distruzione della foresta amazzonica,http://www.scienze-naturali.com/deforestazione/2490,Deforestazione: cause e conseguenze - Scienze Naturali,"Un esempio è la foresta Amazzonica, nell’America meridionale: da anni l’uomo è complice della sua distruzione per interessi personali (utilizzo del legname e delle aree deforestate per costruire edifici). Quali sono le conseguenze? La deforestazione aumenta l’anidride carbonica presente in atmosfera. Perché?","Deforestazione: cause e conseguenze - Scienze Naturali. Un esempio è la foresta Amazzonica, nell’America meridionale: da anni l’uomo è complice della sua distruzione per interessi personali (utilizzo del legname e delle aree deforestate per costruire edifici). Quali sono le conseguenze? La deforestazione aumenta l’anidride carbonica presente in atmosfera. Perché?",7,NR,0,Deforestazione cause e conseguenze - Scienze Naturali. Un esempio è la foresta Amazzonica nell America meridionale da anni l uomo è complice della sua distruzione per interessi personali utilizzo del legname e delle aree deforestate per costruire edifici. Quali sono le conseguenze? La deforestazione aumenta l anidride carbonica presente in atmosfera. Perché?,0.02090941125061363,99.97909665107727,0.008983784209704027,3.189888224005699,93.43191385269165,3.369208425283432,43.9,49.31
 le conseguenze negative della distruzione della foresta amazzonica,https://forestaamazzonica.blogspot.com/2016/08/foresta-amazzonica-amazzonia.html,La Foresta Amazzonica (o Amazzonia),"La foresta amazzonica, nota anche con il nome di Amazzonia o giungla amazzonica, è una foresta equatoriale situata nel bacino amazzonico in Sud America. Con una superficie di 5,5 milioni di km², ovvero circa dieci volte più della Francia, è la foresta più grande del mondo.","La Foresta Amazzonica (o Amazzonia). La foresta amazzonica, nota anche con il nome di Amazzonia o giungla amazzonica, è una foresta equatoriale situata nel bacino amazzonico in Sud America. Con una superficie di 5,5 milioni di km², ovvero circa dieci volte più della Francia, è la foresta più grande del mondo.",8,NR,0,La Foresta Amazzonica o Amazzonia. La foresta amazzonica nota anche con il nome di Amazzonia o giungla amazzonica è una foresta equatoriale situata nel bacino amazzonico in Sud America. Con una superficie di 5 5 milioni di km² ovvero circa dieci volte più della Francia è la foresta più grande del mondo.,99.95157718658447,0.04842701309826225,98.33983182907104,1.1855226941406727,0.2524229697883129,0.2222162438556552,74.9,55.67
 le conseguenze negative della distruzione della foresta amazzonica,https://www.youtube.com/watch?v=h05VEhJ_U70,DOPO GLI INCENDI IN AMAZZONIA. COSA È SUCCESSO ...,"Secondo il New York Times la distruzione della foresta pluviale amazzonica in Brasile è aumentata rapidamente da quando è salito al potere Jair Bolsonaro, il nuovo presidente di estrema destra ...","DOPO GLI INCENDI IN AMAZZONIA. COSA È SUCCESSO .... Secondo il New York Times la distruzione della foresta pluviale amazzonica in Brasile è aumentata rapidamente da quando è salito al potere Jair Bolsonaro, il nuovo presidente di estrema destra ...",9,NR,0,DOPO GLI INCENDI IN AMAZZONIA. COSA È SUCCESSO .... Secondo il New York Times la distruzione della foresta pluviale amazzonica in Brasile è aumentata rapidamente da quando è salito al potere Jair Bolsonaro il nuovo presidente di estrema destra ...,0.02079476835206151,99.97920393943787,0.013198542001191527,15.155583620071411,82.71805047988892,2.1131694316864014,69.48,60.43
 le conseguenze negative della distruzione della foresta amazzonica,https://it.wikipedia.org/wiki/Diboscamento,Diboscamento - Wikipedia,"Il termine disboscamento (o deforestazione), indica l'eliminazione della vegetazione arborea in un'area boschiva o forestale.Le ragioni per cui si procede a tali operazioni possono essere molteplici e possono essere sia positive che negative dal punto di vista ambientale: si può eseguire un disboscamento inteso come taglio di piante vecchie, malate, bruciate per la non curanza nei boschi ...","Diboscamento - Wikipedia. Il termine disboscamento (o deforestazione), indica l'eliminazione della vegetazione arborea in un'area boschiva o forestale.Le ragioni per cui si procede a tali operazioni possono essere molteplici e possono essere sia positive che negative dal punto di vista ambientale: si può eseguire un disboscamento inteso come taglio di piante vecchie, malate, bruciate per la non curanza nei boschi ...",10,NR,0,Diboscamento - Wikipedia. Il termine disboscamento o deforestazione indica l'eliminazione della vegetazione arborea in un'area boschiva o forestale.Le ragioni per cui si procede a tali operazioni possono essere molteplici e possono essere sia positive che negative dal punto di vista ambientale si può eseguire un disboscamento inteso come taglio di piante vecchie malate bruciate per la non curanza nei boschi ...,0.021326563728507608,99.97867941856384,0.01403673377353698,8.096794784069061,79.88888025283813,12.00028657913208,29.16,40.15
